model,gene,variable,estimate,pval,sigma,contrast,FDR,label
lmekin.contrast,ABHD12,contrast,-0.053309908153325154,0.6867645797122813,NA,TB_RSTR - TB_LTBI,0.7359402216821191,RSTR - LTBI in Mtb
lmekin.contrast,ABHD12,contrast,0.005877529747861093,0.9518965969544931,NA,MEDIA_RSTR - MEDIA_LTBI,0.9775047345224996,RSTR - LTBI in media
lmekin.contrast,ACSL4,contrast,0.3555153127512957,0.018223761636916518,NA,TB_RSTR - TB_LTBI,0.03534848063310312,RSTR - LTBI in Mtb
lmekin.contrast,ACSL4,contrast,0.060805090949539266,0.2682672158513061,NA,MEDIA_RSTR - MEDIA_LTBI,0.4304752998544214,RSTR - LTBI in media
lmekin.contrast,ADGRE2,contrast,0.6658900520023782,0.002611369048880305,NA,TB_RSTR - TB_LTBI,0.009703842360618819,RSTR - LTBI in Mtb
lmekin.contrast,ADGRE2,contrast,0.16517016104606919,0.23339646145834586,NA,MEDIA_RSTR - MEDIA_LTBI,0.39278916684453324,RSTR - LTBI in media
lmekin.contrast,AKNA,contrast,-0.36921312157806513,0.03371324790945888,NA,TB_RSTR - TB_LTBI,0.0497111678879353,RSTR - LTBI in Mtb
lmekin.contrast,AKNA,contrast,-0.10127055500303787,0.07992599547672907,NA,MEDIA_RSTR - MEDIA_LTBI,0.27574468439471533,RSTR - LTBI in media
lmekin.contrast,ANKRD44,contrast,-0.41696245420365347,0.0030327934581156654,NA,TB_RSTR - TB_LTBI,0.009703842360618819,RSTR - LTBI in Mtb
lmekin.contrast,ANKRD44,contrast,-0.067047443918631,0.46637827449337255,NA,MEDIA_RSTR - MEDIA_LTBI,0.6567367538784226,RSTR - LTBI in media
lmekin.contrast,ANPEP,contrast,0.4784367322939663,6.998544471100409e-4,NA,TB_RSTR - TB_LTBI,0.004340695171591659,RSTR - LTBI in Mtb
lmekin.contrast,ANPEP,contrast,0.1530860362271513,0.17281939193862758,NA,MEDIA_RSTR - MEDIA_LTBI,0.36775690076492856,RSTR - LTBI in media
lmekin.contrast,AP3M2,contrast,-0.39130199866548704,3.270819795169787e-4,NA,TB_RSTR - TB_LTBI,0.0028210820733339413,RSTR - LTBI in Mtb
lmekin.contrast,AP3M2,contrast,-0.08051412939127406,0.24738166588834493,NA,MEDIA_RSTR - MEDIA_LTBI,0.40641273681656664,RSTR - LTBI in media
lmekin.contrast,ARHGEF3,contrast,-0.5024751984313781,0.02562346097490762,NA,TB_RSTR - TB_LTBI,0.04018224561974149,RSTR - LTBI in Mtb
lmekin.contrast,ARHGEF3,contrast,-0.22009878231896465,0.16526319398527223,NA,MEDIA_RSTR - MEDIA_LTBI,0.36775690076492856,RSTR - LTBI in media
