GO_set,Term,Overlap,P.value,Adjusted.P.value,Odds.Ratio,Combined.Score,Genes,FDR_allGO
GO_Biological_Process_2021,cellular response to cytokine stimulus (GO:0071345),46/482,4.863522345360964e-15,1.4216075815490098e-11,4.470581039755352,147.3369994882365,CSF1R;RIPOR2;PID1;CSF3R;CEBPD;DOCK8;TCF7;LEF1;FPR1;RORA;PTPRJ;PTGS2;YBX3;FOXO1;ZFP36L2;IL18BP;CCL5;S1PR1;SIRPA;FYN;CCR7;TIMP1;JAK2;GBP2;GBP1;GBP4;IL10;IL32;GBP5;SMAD3;STAT1;IL11RA;IFNGR2;PYHIN1;IL16;FOS;TNFRSF1B;VEGFA;LCK;IRF4;IRF1;IRF8;GRB2;PTPN4;TNFRSF21;TLR2,1.7844263485129376e-11
GO_Biological_Process_2021,cytokine-mediated signaling pathway (GO:0019221),47/621,1.141759051916069e-11,1.6686808543753347e-8,3.4521546138146713,86.98002479091501,CSF1R;CIITA;CXCL9;CSF3R;CEBPD;FPR1;RORA;PTPRJ;PTGS2;FOXO1;IL18BP;CCL5;CFL1;S1PR1;FYN;TIMP1;JAK2;FCGR1A;GBP2;GBP1;HLA-DQA1;IL10;IL32;FCER1G;STAT1;IL11RA;IFNGR2;IL16;FOS;TNFRSF1B;PSMB9;VEGFA;ISG20;CD40LG;IFNG;LCK;IRF4;IRF1;TRAF5;PDCD4;IRF8;TNFSF8;TNFRSF25;GRB2;LTB;IL7R;LIMS1,4.187972202428141e-8
GO_Biological_Process_2021,T cell receptor signaling pathway (GO:0050852),21/158,3.941288205314237e-10,3.840128474711172e-7,6.2498194391087205,135.335735725007,ITK;BTN2A2;BTN3A1;TXK;CD3G;PTPRJ;BTN3A3;BTN3A2;CD3E;PSMB9;ZAP70;LCK;CD28;CTLA4;PRKCQ;FYN;PLCG1;CD247;CARD11;HLA-DQA1;TNFRSF21,1.4452703848887308e-6
GO_Biological_Process_2021,regulation of immune response (GO:0050776),22/179,6.920593262009022e-10,5.057223526213093e-7,5.719503345964686,120.63204364998785,CD96;SIGLEC9;ITGA4;SPPL2B;CD3G;CD3E;FOXP3;ADCY7;FOXP1;FCGR3A;KLRK1;CD40LG;JAML;IRF4;IRF1;CD300E;SLAMF7;KLRD1;CD247;FCGR1A;SIGLEC7;LAIR1,2.5370894898525074e-6
GO_Biological_Process_2021,antigen receptor-mediated signaling pathway (GO:0050851),22/185,1.3035547902434456e-9,7.620581303763183e-7,5.507261007998758,112.66848661863291,ITK;BTN2A2;BTN3A1;TXK;CD3G;PTPRJ;BTN3A3;BTN3A2;CD3E;PSMB9;ZAP70;LCK;CD28;CTLA4;PRKCQ;FYN;PLCG1;CD247;MS4A1;CARD11;HLA-DQA1;TNFRSF21,4.777528306242228e-6
GO_Biological_Process_2021,positive regulation of cytokine production (GO:0001819),29/335,5.97413867203578e-9,2.910401223060098e-6,3.8959706652111237,73.77342224675489,ITK;CSF1R;TXK;RORA;PTGS2;PRKCZ;LY9;CCR7;MBP;CD14;SPTBN1;IL10;GBP5;FCER1G;BTN3A1;SLC11A1;IL16;BTN3A2;SORL1;FOXP1;CD40LG;IFNG;IRF4;IRF1;CD28;PRKCQ;LTB;CARD11;TLR2,2.1889244094339098e-5
GO_Biological_Process_2021,cellular response to interferon-gamma (GO:0071346),17/121,7.940288505445874e-9,3.3156376144883267e-6,6.620362935603019,123.47848264711833,GBP5;CIITA;STAT1;IFNGR2;IFNG;IRF4;IRF1;CCL5;SIRPA;IRF8;JAK2;GBP2;FCGR1A;GBP1;HLA-DQA1;GBP4;TLR2,2.9085276795448236e-5
GO_Biological_Process_2021,regulation of T cell differentiation (GO:0045580),10/39,2.6801673201827327e-8,9.79266134611766e-6,13.817936710657017,240.91298394514678,ZAP70;PRELID1;CBFB;IFNG;TBX21;CAMK4;TCF7;CTLA4;RHOH;FOXP3,9.814772726509168e-5
GO_Biological_Process_2021,regulation of interleukin-4 production (GO:0032673),8/23,4.778934644240401e-8,1.5520917739016323e-5,21.299453551912567,359.0334528493395,FCER1G;CD40LG;IRF4;LEF1;CD28;PRKCQ;FOXP3;PRKCZ,1.7495679732564107e-4
GO_Biological_Process_2021,interferon-gamma-mediated signaling pathway (GO:0060333),12/68,9.784146671329747e-8,2.8599060720296855e-5,8.61038961038961,138.970976703823,CIITA;IFNG;IRF4;STAT1;IFNGR2;IRF1;IRF8;JAK2;GBP2;FCGR1A;GBP1;HLA-DQA1,3.5809976817066875e-4
