GO_set,Term,Overlap,P.value,Adjusted.P.value,Odds.Ratio,Combined.Score,Genes,FDR_allGO
Biological Process,cellular response to interferon-gamma (GO:0071346),8/121,9.803524277643396e-9,7.7938018007265e-6,22.628604053668283,417.2833137791359,GBP5;CIITA;IFNG;STAT1;IFNGR2;IRF1;IRF8;GAPDH,9.90155952041983e-6
Biological Process,interferon-gamma-mediated signaling pathway (GO:0060333),6/68,1.362586573190793e-7,5.416281628433402e-5,30.04233870967742,474.9306463836599,CIITA;IFNG;STAT1;IFNGR2;IRF1;IRF8,1.3748498523495102e-4
Biological Process,response to interferon-gamma (GO:0034341),6/80,3.6197779329071436e-7,9.59241152220393e-5,25.155405405405407,373.0969979926079,GBP5;CIITA;STAT1;UBD;IRF8;GAPDH,3.648736156370401e-4
Biological Process,cellular response to cytokine stimulus (GO:0071345),10/482,6.544229912311851e-6,0.0013006656950719806,6.870762711864407,82.01579173020764,GBP5;CSF1R;STAT1;IFNGR2;IRF1;IRF8;GRB2;TIMP1;TNFRSF1B;GAPDH,0.006590039521698034
Biological Process,cytokine-mediated signaling pathway (GO:0019221),11/621,9.706283255493522e-6,0.00154329903762347,5.904973603778828,68.15955803176004,CSF1R;CIITA;IFNG;STAT1;IFNGR2;IRF1;IRF8;TNFRSF25;GRB2;TIMP1;TNFRSF1B,0.009764520955026482
Biological Process,regulation of response to interferon-gamma (GO:0060330),3/14,1.4537663331549407e-5,0.0019262403914302964,81.08141112618725,903.1470118358844,IFNG;STAT1;IFNGR2,0.014610351648207155
Biological Process,regulation of membrane protein ectodomain proteolysis (GO:0051043),3/22,6.0282980376351684e-5,0.006846424199885655,46.923016496465046,455.9256477413351,IFNG;TIMP1;TNFRSF1B,0.06052411229785709
Biological Process,regulation of interferon-gamma-mediated signaling pathway (GO:0060334),3/23,6.915173402286287e-5,0.006871953568521997,44.57462686567164,426.98959658989946,IFNG;STAT1;IFNGR2,0.06935918922493145
Biological Process,regulation of cytokine production (GO:0001817),5/150,0.00018146387574871316,0.014426378122022696,10.496021220159152,90.41749151970242,IFNG;BTN2A2;IRF8;TNFRSF1B;GAPDH,0.1818268035002106
Biological Process,response to cytokine (GO:0034097),5/150,0.00018146387574871316,0.014426378122022696,10.496021220159152,90.41749151970242,CSF1R;CIITA;STAT1;UBD;TIMP1,0.1818268035002106
Biological Process,positive regulation of MHC class II biosynthetic process (GO:0045348),2/8,3.3353652023114023e-4,0.024105593962159676,97.66666666666667,781.8957168168002,CIITA;IFNG,0.3335365202311402
Biological Process,positive regulation of neuroblast proliferation (GO:0002052),2/11,6.507263545424821e-4,0.04311062098843944,65.10130718954248,477.6757213148116,FZD3;DISC1,0.6494249018333971
Biological Process,regulation of MHC class II biosynthetic process (GO:0045346),2/12,7.791063560372328e-4,0.04764535023458462,58.588235294117645,419.3372670889321,CIITA;IFNG,0.7767690369691211
Biological Process,epithelium development (GO:0060429),4/122,8.856567420821809e-4,0.050292650711095274,10.175654853620955,71.52652084551349,GSTK1;TAGLN;STAT1;PGK1,0.88122845837177
Molecular Function,tumor necrosis factor-activated receptor activity (GO:0005031),2/9,4.2786277535055014e-4,0.05103146632043875,83.71008403361344,649.3146811939207,TNFRSF25;TNFRSF1B,0.4274349125751996
Molecular Function,death receptor activity (GO:0005035),2/12,7.791063560372328e-4,0.05103146632043875,58.588235294117645,419.3372670889321,TNFRSF25;TNFRSF1B,0.7767690369691211
Biological Process,regulation of apoptotic process (GO:0042981),9/742,0.0010897274539497773,0.05437374123365813,3.8640440140451324,26.35984231999878,FCMR;RASSF2;CCND2;STAT1;RASGRF2;UBD;ARHGEF3;TNFRSF25;CD3E,1
Biological Process,positive regulation of cytokine production (GO:0001819),6/335,0.0011248802761468196,0.05437374123365813,5.585391337386018,37.925246584658396,GBP5;CSF1R;IFNG;IRF1;PRKCQ;GAPDH,1
Biological Process,positive regulation of membrane protein ectodomain proteolysis (GO:0051044),2/15,0.0012311035751016936,0.05437374123365813,45.06108597285068,301.902259841425,IFNG;TNFRSF1B,1
Biological Process,macrophage differentiation (GO:0030225),2/15,0.0012311035751016936,0.05437374123365813,45.06108597285068,301.902259841425,CSF1R;IFNG,1
Biological Process,cellular response to type I interferon (GO:0071357),3/65,0.0015354188071001681,0.06009357893213393,14.348579682233991,92.96376041622972,STAT1;IRF1;IRF8,1
Biological Process,type I interferon signaling pathway (GO:0060337),3/65,0.0015354188071001681,0.06009357893213393,14.348579682233991,92.96376041622972,STAT1;IRF1;IRF8,1
Biological Process,regulation of neuroblast proliferation (GO:1902692),2/17,0.0015873775566978775,0.06009357893213393,39.049019607843135,251.69717074439234,FZD3;DISC1,1
Biological Process,myeloid leukocyte differentiation (GO:0002573),3/71,0.001979241339377684,0.065733690704725,13.078577699736611,81.41469116037297,CSF1R;IFNG;UBD,1
Biological Process,regulation of lymphocyte proliferation (GO:0050670),2/19,0.0019868924216423383,0.065733690704725,34.451557093425606,214.32945709106943,LST1;TNFRSF1B,1
Biological Process,positive regulation of neurogenesis (GO:0050769),3/72,0.002060152589917604,0.065733690704725,12.888384166125892,79.71433677257149,FZD3;IFNG;DISC1,1
Biological Process,cellular response to interferon-beta (GO:0035458),2/20,0.0022026761035863623,0.065733690704725,32.5359477124183,199.05760409273054,STAT1;IRF1,1
Biological Process,regulation of cytokine-mediated signaling pathway (GO:0001959),3/74,0.002228088724342214,0.065733690704725,12.524069791885642,76.47962405033152,IFNG;STAT1;IFNGR2,1
Biological Process,positive regulation of immune response (GO:0050778),3/75,0.0023151488550091823,0.065733690704725,12.349502487562189,74.94025492672628,GBP5;HLA-DMB;IFNG,1
Biological Process,positive regulation of T cell activation (GO:0050870),3/75,0.0023151488550091823,0.065733690704725,12.349502487562189,74.94025492672628,HLA-DMB;PRKCQ;CD3E,1
Biological Process,regulation of T cell proliferation (GO:0042129),3/76,0.0024042934410321718,0.06591080295243368,12.179717849110611,73.44977881959606,HLA-DMB;CD3E;TNFRSF1B,1
Biological Process,positive regulation of type I interferon production (GO:0032481),3/77,0.0024955394801231567,0.06613179622326365,12.014521984671239,72.00603807353656,STAT1;IRF1;GAPDH,1
Biological Process,positive regulation of neural precursor cell proliferation (GO:2000179),2/22,0.0026659211559916535,0.06664671348655253,29.279411764705884,173.5450943005154,FZD3;DISC1,1
Biological Process,adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188),4/165,0.0026826350082637495,0.06664671348655253,7.441746659137963,44.062252712075995,ADGRE2;GNA15;GNA12;PRKACB,1
Biological Process,canonical glycolysis (GO:0061621),2/24,0.003170907814976626,0.06952111021094547,26.614973262032084,153.13556586345413,PGK1;GAPDH,1
Biological Process,dendritic cell differentiation (GO:0097028),2/24,0.003170907814976626,0.06952111021094547,26.614973262032084,153.13556586345413,UBD;IRF8,1
Biological Process,glucose catabolic process to pyruvate (GO:0061718),2/24,0.003170907814976626,0.06952111021094547,26.614973262032084,153.13556586345413,PGK1;GAPDH,1
Biological Process,positive regulation of programmed cell death (GO:0043068),5/286,0.003275943514396528,0.06952111021094547,5.378866684916507,30.773299667126263,RASSF2;IFNG;RASGRF2;UBD;ARHGEF3,1
Biological Process,positive regulation of protein catabolic process (GO:0045732),3/85,0.003303119328525365,0.06952111021094547,10.838005096468875,61.91630932360711,IFNG;PTTG1IP;TNFRSF1B,1
Biological Process,receptor signaling pathway via STAT (GO:0097696),2/25,0.003438869920484422,0.06952111021094547,25.456521739130434,144.40498019235108,IFNG;STAT1,1
Biological Process,glycolytic process through glucose-6-phosphate (GO:0061620),2/25,0.003438869920484422,0.06952111021094547,25.456521739130434,144.40498019235108,PGK1;GAPDH,1
Biological Process,regulation of immune response (GO:0050776),4/179,0.0035926850641506626,0.06952111021094547,6.841558441558441,38.51014336501441,IRF1;CD300E;CD3E;LAIR1,1
Biological Process,regulation of regulatory T cell differentiation (GO:0045589),2/26,0.0037170469862234513,0.06952111021094547,24.394607843137255,136.4835800450302,IFNG;IRF1,1
Biological Process,mononuclear cell differentiation (GO:1903131),2/26,0.0037170469862234513,0.06952111021094547,24.394607843137255,136.4835800450302,CSF1R;IRF8,1
Biological Process,regulation of type I interferon production (GO:0032479),3/89,0.0037602613070071133,0.06952111021094547,10.331829225963208,57.685359384205626,IRF1;IRF8;GAPDH,1
Biological Process,regulation of intracellular signal transduction (GO:1902531),6/437,0.004242372581718879,0.07603301496671953,4.24137180974478,23.169055895764092,RASSF2;BRPF1;RASGRF2;GNA12;ARHGEF3;ARHGAP45,1
Biological Process,response to interferon-beta (GO:0035456),2/28,0.004303755564153936,0.07603301496671953,22.5158371040724,122.6722979105978,STAT1;IRF1,1
Biological Process,glycolytic process (GO:0006096),2/29,0.004612142784685055,0.07970985899618738,21.68082788671024,116.62253297360674,PGK1;GAPDH,1
Biological Process,receptor signaling pathway via JAK-STAT (GO:0007259),2/31,0.005258625119570298,0.0887069088569726,20.183569979716026,105.921067676316,IFNG;STAT1,1
Biological Process,epithelial cell differentiation (GO:0030855),3/101,0.005355888836647403,0.0887069088569726,9.061224489795919,47.38620451412707,GSTK1;TAGLN;PGK1,1
Biological Process,positive regulation of immune effector process (GO:0002699),2/32,0.005596578143279609,0.09080162497769978,19.50980392156863,101.17003753488852,HLA-DMB;IFNG,1
Biological Process,regulation of interleukin-17 production (GO:0032660),2/33,0.005944244950633995,0.09451349471508051,18.879506641366223,96.76373505283495,IFNG;PRKCQ,1
Biological Process,positive regulation of protein serine/threonine kinase activity (GO:0071902),3/106,0.006123696487985843,0.0954576217244852,8.6191856252717,43.91983059406656,CSF1R;CCND2;IFNG,1
Biological Process,regulation of protein serine/threonine kinase activity (GO:0071900),3/111,0.006954106134743899,0.10631758417541154,8.218076285240464,40.83087909254721,CSF1R;CCND2;IFNG,1
Biological Process,tumor necrosis factor-mediated signaling pathway (GO:0033209),3/116,0.007848337738034228,0.11772506607051342,7.852463346981905,38.06445111341472,STAT1;TNFRSF25;TNFRSF1B,1
Biological Process,negative regulation of secretion by cell (GO:1903531),2/39,0.008230332550649018,0.12116878477344387,15.813195548489666,75.90221365012793,PNKD;TNFRSF1B,1
Biological Process,apoptotic process (GO:0006915),4/231,0.00876976202901329,0.12427952726685902,5.260445868375384,24.915815727433063,IFNG;IRF1;TNFRSF25;GAPDH,1
Biological Process,carbohydrate catabolic process (GO:0016052),2/41,0.009066934064751979,0.12427952726685902,15.000754147812971,70.5503633837031,PGK1;GAPDH,1
Biological Process,epithelial cell migration (GO:0010631),2/41,0.009066934064751979,0.12427952726685902,15.000754147812971,70.5503633837031,ZEB2;STAT1,1
Biological Process,gluconeogenesis (GO:0006094),2/41,0.009066934064751979,0.12427952726685902,15.000754147812971,70.5503633837031,PGK1;GAPDH,1
Biological Process,regulation of chemokine production (GO:0032642),2/42,0.00949891149531593,0.12799380743688413,14.625,68.10245422081914,CSF1R;IFNG,1
Biological Process,hexose biosynthetic process (GO:0019319),2/44,0.010389884912665695,0.13766597509282047,13.92717086834734,63.6043107057301,PGK1;GAPDH,1
Biological Process,regulation of T cell activation (GO:0050863),2/47,0.011792897365232357,0.14468996712843607,12.99673202614379,57.70884136361785,PRKCQ;TNFRSF1B,1
Biological Process,regulation of smooth muscle cell proliferation (GO:0048660),2/49,0.012771842039635313,0.14468996712843607,12.442428035043804,54.25536138345729,IFNG;STAT1,1
Biological Process,regulation of small GTPase mediated signal transduction (GO:0051056),3/141,0.013311489046546509,0.14468996712843607,6.421804023361454,27.736592145779195,RASGRF2;ARHGEF3;ARHGAP45,1
Biological Process,positive regulation of cellular catabolic process (GO:0031331),3/141,0.013311489046546509,0.14468996712843607,6.421804023361454,27.736592145779195,IFNG;PTTG1IP;TNFRSF1B,1
Biological Process,Ras protein signal transduction (GO:0007265),3/142,0.01356526046155647,0.14468996712843607,6.37528186406099,27.41526205085077,GNA12;ARHGEF3;GRB2,1
Biological Process,regulation of protein modification process (GO:0031399),2/51,0.013785064109602813,0.14468996712843607,11.933373349339735,51.12459513583281,IFNG;CCDC88C,1
Biological Process,regulation of protein phosphorylation (GO:0001932),4/266,0.014130365542478141,0.14468996712843607,4.549618320610687,19.378777181282,CSF1R;CCND2;IFNG;CCDC88C,1
Biological Process,positive regulation of protein localization to cell periphery (GO:1904377),2/52,0.014304368780316934,0.14468996712843607,11.694117647058823,49.66714279512988,IFNG;EPB41,1
Biological Process,positive regulation of chemokine production (GO:0032722),2/53,0.014832051002818671,0.14468996712843607,11.464244521337948,48.27553049864857,CSF1R;IFNG,1
Biological Process,pyruvate metabolic process (GO:0006090),2/55,0.01591229546023724,0.14468996712843607,11.030521642619313,45.6736747027883,PGK1;GAPDH,1
Biological Process,positive regulation of interleukin-1 beta production (GO:0032731),2/56,0.016464732196926624,0.14468996712843607,10.825708061002178,44.45614502812157,GBP5;IFNG,1
Biological Process,Rho protein signal transduction (GO:0007266),2/56,0.016464732196926624,0.14468996712843607,10.825708061002178,44.45614502812157,GNA12;ARHGEF3,1
Biological Process,positive regulation of protein kinase activity (GO:0045860),3/154,0.016826595327393376,0.14468996712843607,5.865078580606899,23.957641250603675,CSF1R;RASSF2;IFNG,1
Biological Process,positive regulation of proteolysis (GO:0045862),2/57,0.01702529548437322,0.14468996712843607,10.628342245989305,43.2898232833362,IFNG;TNFRSF1B,1
Biological Process,aggresome assembly (GO:0070842),1/5,0.017379513575201528,0.14468996712843607,72.19565217391305,292.57021981956115,UBD,1
Biological Process,negative regulation of metallopeptidase activity (GO:1905049),1/5,0.017379513575201528,0.14468996712843607,72.19565217391305,292.57021981956115,TIMP1,1
Biological Process,regulation of core promoter binding (GO:1904796),1/5,0.017379513575201528,0.14468996712843607,72.19565217391305,292.57021981956115,IFNG,1
Biological Process,negative regulation of regulatory T cell differentiation (GO:0045590),1/5,0.017379513575201528,0.14468996712843607,72.19565217391305,292.57021981956115,IRF1,1
Biological Process,cellular response to macrophage colony-stimulating factor stimulus (GO:0036006),1/5,0.017379513575201528,0.14468996712843607,72.19565217391305,292.57021981956115,CSF1R,1
Biological Process,neuroinflammatory response (GO:0150076),1/5,0.017379513575201528,0.14468996712843607,72.19565217391305,292.57021981956115,IFNG,1
Biological Process,neutral lipid catabolic process (GO:0046461),1/5,0.017379513575201528,0.14468996712843607,72.19565217391305,292.57021981956115,ABHD12,1
Biological Process,peptidyl-cysteine S-nitrosylation (GO:0018119),1/5,0.017379513575201528,0.14468996712843607,72.19565217391305,292.57021981956115,GAPDH,1
Biological Process,"positive regulation of CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation (GO:0032831)",1/5,0.017379513575201528,0.14468996712843607,72.19565217391305,292.57021981956115,IFNG,1
Biological Process,renal tubule development (GO:0061326),1/5,0.017379513575201528,0.14468996712843607,72.19565217391305,292.57021981956115,STAT1,1
Biological Process,response to macrophage colony-stimulating factor (GO:0036005),1/5,0.017379513575201528,0.14468996712843607,72.19565217391305,292.57021981956115,CSF1R,1
