Term,Overlap,P.value,Adjusted.P.value,Odds.Ratio,Combined.Score,Genes
Allograft Rejection,8/200,4.826065561247453e-7,1.5926016352116594e-5,13.26478494623656,192.92388251539236,CCND2;HLA-DMB;IFNG;STAT1;IFNGR2;IRF8;TIMP1;CD3E
IL-6/JAK/STAT3 Signaling,5/87,1.343585197678249e-5,2.2169155761691108e-4,18.619136960600375,208.86173106044652,STAT1;IFNGR2;IRF1;GRB2;TNFRSF1B
Interferon Gamma Response,5/200,6.797468732941558e-4,0.005607911704676785,7.785009861932939,56.7822276589064,CIITA;MARCHF1;STAT1;IRF1;IRF8
Inflammatory Response,5/200,6.797468732941558e-4,0.005607911704676785,7.785009861932939,56.7822276589064,GNA15;IFNGR2;IRF1;TIMP1;TNFRSF1B
Apoptosis,4/161,0.0024551002192389868,0.01620366144697731,7.63288940359004,45.87051824526453,GNA15;CCND2;IRF1;TIMP1
IL-2/STAT5 Signaling,4/199,0.005227097041584587,0.02874903372871523,6.133644133644133,32.22554809257371,CCND2;IRF8;TNFRSF1B;ICOS
Angiogenesis,2/36,0.007044828478533925,0.03321133425594565,17.21107266435986,85.28880762599312,CCND2;TIMP1
Complement,3/200,0.0330703326834923,0.10913209785552458,4.485112508523373,15.290280888801105,IRF1;GRB2;TIMP1
Epithelial Mesenchymal Transition,3/200,0.0330703326834923,0.10913209785552458,4.485112508523373,15.290280888801105,TAGLN;ANPEP;TIMP1
KRAS Signaling Up,3/200,0.0330703326834923,0.10913209785552458,4.485112508523373,15.290280888801105,CCND2;IRF8;TNFRSF1B
Pperoxisome,2/104,0.051463194489866755,0.15438958346960027,5.717416378316032,16.96293631313209,GSTK1;ACSL4
Wnt-beta Catenin Signaling,1/42,0.1370589006925748,0.31986265306778877,7.0303994344291265,13.971825743625907,CCND2
Mitotic Spindle,2/199,0.15386477620940492,0.31986265306778877,2.9461033144222157,5.514166006754252,EPB41;ARHGEF3
TNF-alpha Signaling via NF-kB,2/200,0.15508492269953394,0.31986265306778877,2.931075460487225,5.462886925837976,IFNGR2;IRF1
Hypoxia,2/200,0.15508492269953394,0.31986265306778877,2.931075460487225,5.462886925837976,PGK1;GAPDH
mTORC1 Signaling,2/200,0.15508492269953394,0.31986265306778877,2.931075460487225,5.462886925837976,PGK1;GAPDH
TGF-beta Signaling,1/54,0.1726957796087883,0.3352329839464714,5.4353295050587915,9.545654667103056,IFNGR2
Interferon Alpha Response,1/97,0.2888807288061606,0.5057652387756465,2.9942632850241546,3.718100621077919,IRF1
PI3K/AKT/mTOR  Signaling,1/105,0.3086479399829948,0.5057652387756465,2.7628205128205128,3.2478447174119007,GRB2
Bile Acid Metabolism,1/112,0.325499265377065,0.5057652387756465,2.587674631152892,2.9043932597474,GSTK1
Spermatogenesis,1/135,0.37806735736175734,0.5057652387756465,2.1410339606316247,2.0825471328701894,STRBP
Coagulation,1/138,0.38461920560701857,0.5057652387756465,2.0938326457209353,2.000660255717499,TIMP1
Fatty Acid Metabolism,1/158,0.4265924758832385,0.5057652387756465,1.8252561617280532,1.5549833825361414,ACSL4
UV Response Up,1/158,0.4265924758832385,0.5057652387756465,1.8252561617280532,1.5549833825361414,IRF1
Adipogenesis,1/200,0.5057652387756465,0.5057652387756465,1.4369674459252786,0.9795558086095747,ESYT1
Estrogen Response Early,1/200,0.5057652387756465,0.5057652387756465,1.4369674459252786,0.9795558086095747,FCMR
Myogenesis,1/200,0.5057652387756465,0.5057652387756465,1.4369674459252786,0.9795558086095747,TAGLN
Myc Targets V1,1/200,0.5057652387756465,0.5057652387756465,1.4369674459252786,0.9795558086095747,PGK1
Xenobiotic Metabolism,1/200,0.5057652387756465,0.5057652387756465,1.4369674459252786,0.9795558086095747,IRF8
Glycolysis,1/200,0.5057652387756465,0.5057652387756465,1.4369674459252786,0.9795558086095747,PGK1
p53 Pathway,1/200,0.5057652387756465,0.5057652387756465,1.4369674459252786,0.9795558086095747,CCND2
heme Metabolism,1/200,0.5057652387756465,0.5057652387756465,1.4369674459252786,0.9795558086095747,EPB41
KRAS Signaling Dn,1/200,0.5057652387756465,0.5057652387756465,1.4369674459252786,0.9795558086095747,IFNG
